nombre,descripcion,preferencia_alimenticia,ingredientes
Sushi de Salmón,"Rollos de sushi con salmón fresco y aguacate",ninguno,"arroz para sushi, alga nori, salmón, aguacate, pepino"
Fideos de Arroz con Tofu,"Fideos de arroz salteados con tofu y verduras",vegano,"fideos de arroz, tofu, zanahoria, pimiento, salsa de soja"
Paella de Verduras,"Paella con una mezcla de verduras y arroz",vegano,"arroz, alcachofas, pimiento, tomate, guisantes, azafrán"
Bocadillo de Jamón y Queso,"Bocadillo clásico de jamón y queso",ninguno,"pan, jamón, queso, tomate, lechuga"
Pasta Alfredo,"Pasta con una salsa cremosa de queso parmesano",vegetariano,"pasta, crema de leche, queso parmesano, ajo, mantequilla"
Lomos de Merluza,"Merluza a la plancha con limón y ajo",ninguno,"merluza, limón, ajo, aceite de oliva, perejil"
Ceviche de Camarón,"Ceviche con camarones, cilantro y limón",ninguno,"camarón, limón, cebolla, cilantro, tomate, chile"
Galletas de Avena,"Galletas caseras de avena con pasas",vegetariano,"avena, azúcar, mantequilla, huevo, pasas, harina"
Sopa de Pollo,"Sopa reconfortante con pollo, zanahorias y fideos",ninguno,"pollo, zanahoria, fideos, cebolla, ajo, caldo de pollo"
Burritos Veganos,"Burritos con guacamole, frijoles y arroz",vegano,"tortilla, guacamole, frijoles, arroz, lechuga, tomate"
Sándwich de Pollo,"Sándwich con pechuga de pollo, lechuga y mayonesa",ninguno,"pan, pollo, lechuga, mayonesa, tomate"
Huevo Revuelo con Espinacas,"Huevo revuelto con espinacas y tomate",vegetariano,"huevo, espinacas, tomate, cebolla, aceite de oliva"
Curry de Pollo,"Pollo con una rica salsa de curry y arroz",ninguno,"pollo, curry, leche de coco, cebolla, arroz"
Maki de Pepino,"Rollos de sushi con pepino y aguacate",vegano,"arroz para sushi, alga nori, pepino, aguacate, vinagre de arroz"
Ensalada de Pasta,"Ensalada fría con pasta, atún y tomate",ninguno,"pasta, atún, tomate, cebolla, aceite de oliva"
Tacos Veganos,"Tacos con guacamole, frijoles y verduras",vegano,"tortilla de maíz, guacamole, frijoles, lechuga, cebolla"
Lasaña de Carne,"Lasaña clásica con carne picada, salsa bechamel y queso",ninguno,"carne picada, tomate, cebolla, bechamel, queso mozzarella"
Sopa de Pollo con Arroz,"Sopa de pollo con arroz y verduras",ninguno,"pollo, arroz, zanahoria, apio, cebolla"
Tostadas de Aguacate y Tomate,"Pan tostado con aguacate, tomate y albahaca",vegetariano,"pan, aguacate, tomate, albahaca, aceite de oliva"
Sopa de Puerros,"Sopa cremosa de puerros con patatas",vegetariano,"puerro, patata, cebolla, caldo de verduras, crema de leche"
Cordero al Horno,"Pierna de cordero asada con hierbas",ninguno,"cordero, romero, ajo, aceite de oliva, limón"
Galletas de Avena y Miel,"Galletas caseras de avena con miel",vegetariano,"avena, miel, mantequilla, huevo, harina"
Pasta con Pesto de Albahaca,"Pasta con pesto fresco de albahaca y piñones",vegetariano,"pasta, albahaca, piñones, ajo, aceite de oliva, queso parmesano"
Pollo con Salsa de Mostaza,"Pollo en salsa de mostaza y miel",ninguno,"pollo, mostaza, miel, crema de leche, ajo, aceite de oliva"
Tarta de Fresas,"Tarta con base de galleta y crema de fresas",vegetariano,"fresas, galletas, mantequilla, nata, azúcar"
Fajitas de Pollo,"Fajitas de pollo con pimientos y cebolla",ninguno,"pollo, pimiento, cebolla, tortillas de harina, salsa barbacoa"
Pisto,"Verduras guisadas al estilo tradicional",vegano,"tomate, calabacín, berenjena, pimiento, cebolla, aceite de oliva"
Sushi de Pepino y Aguacate,"Rollos de sushi con pepino, aguacate y arroz",vegano,"arroz para sushi, alga nori, pepino, aguacate, vinagre de arroz"
Arroz con Mariscos,"Arroz con una mezcla de mariscos y caldo de pescado",ninguno,"arroz, camarones, calamares, mejillones, caldo de pescado"
Tarta de Pera,"Tarta con una base de masa quebrada y crema de pera",vegetariano,"pera, masa quebrada, azúcar, crema pastelera, mantequilla"
Quiche de Champiñones,"Quiche con champiñones, espinacas y queso",vegetariano,"champiñones, espinacas, queso, huevo, nata"
Brochetas de Ternera,"Brochetas de ternera marinadas con especias",ninguno,"ternera, cebolla, pimiento, comino, aceite de oliva"
Ensalada de Frutas,"Ensalada fresca con una variedad de frutas de temporada",vegano,"manzana, naranja, kiwi, plátano, fresas, menta"
Pasta con Salsa de Trufa,"Pasta con una salsa cremosa de trufa y queso parmesano",vegetariano,"pasta, crema de trufa, queso parmesano, aceite de oliva, ajo"
Tarta de Coco,"Tarta de coco con base de galletas y crema de coco",vegetariano,"coco rallado, galletas, mantequilla, azúcar, nata"
Arroz con Pollo y Verduras,"Arroz con pollo, zanahorias y guisantes",ninguno,"arroz, pollo, zanahoria, guisantes, cebolla"
Crepes con Frutos Rojos,"Crepes rellenos de frutos rojos y crema",vegetariano,"harina, huevo, leche, azúcar, frutos rojos, nata"
Pasta con Salsa de Tomate y Albahaca,"Pasta con salsa de tomate fresco y albahaca",vegetariano,"pasta, tomate, albahaca, ajo, aceite de oliva"
Ensalada César,"Ensalada con pollo, croutons y aderezo César",ninguno,"pollo, lechuga, croutons, queso parmesano, aderezo César"
Tarta de Ciruelas,"Tarta casera de ciruelas con masa quebrada",vegetariano,"ciruelas, masa quebrada, azúcar, mantequilla, huevo"
Bowl de Acai,"Bowl con puré de acai, frutas y granola",vegano,"acai, plátano, fresas, granola, miel"
Croissants,"Croissants caseros con mantequilla y azúcar",vegetariano,"harina, mantequilla, azúcar, levadura, huevo"
Pollo al Ajillo,"Pollo cocinado con ajo y aceite de oliva",ninguno,"pollo, ajo, aceite de oliva, vino blanco, perejil"
Sopa de Calabacín,"Sopa suave de calabacín con cebolla y ajo",vegetariano,"calabacín, cebolla, ajo, crema de leche, caldo de verduras"
Tarta de Cereza,"Tarta de cereza con base de masa quebrada",vegetariano,"cereza, masa quebrada, azúcar, mantequilla, huevo"
Pasta con Albóndigas,"Pasta con albóndigas caseras de carne",ninguno,"pasta, carne picada, tomate, cebolla, ajo, pan rallado"
Pollo al Vino Blanco,"Pollo cocinado con vino blanco y champiñones",ninguno,"pollo, vino blanco, champiñones, cebolla, ajo, aceite de oliva"
Sopa Fría de Melón,"Sopa fría de melón con hierbabuena",vegano,"melón, hierbabuena, limón, agua"
Risotto de Calabaza,"Risotto cremoso con calabaza y queso parmesano",vegetariano,"arroz arborio, calabaza, cebolla, queso parmesano, caldo de verduras"
Galletas de Jengibre,"Galletas especiadas de jengibre y canela",vegetariano,"harina, jengibre, canela, azúcar, mantequilla, huevo"
Bocadillo de Pavo,"Bocadillo con pechuga de pavo, lechuga y tomate",ninguno,"pan, pechuga de pavo, lechuga, tomate, mayonesa"
Tarta de Kiwi,"Tarta con base de galleta y crema de kiwi",vegetariano,"kiwi, galletas, azúcar, crema pastelera, mantequilla"
Churros,"Churros caseros con azúcar y canela",vegetariano,"harina, agua, azúcar, canela, aceite"
Burritos Veganos,"Burritos rellenos de arroz, frijoles y verduras",vegano,"tortilla de maíz, arroz, frijoles, pimiento, cebolla"
Ensalada de Lentejas,"Ensalada fresca de lentejas con tomate y pepino",vegano,"lentejas, tomate, pepino, cebolla, aceite de oliva, vinagre"
Tarta de Albaricoque,"Tarta con base de masa quebrada y mermelada de albaricoque",vegetariano,"albaricoque, mermelada de albaricoque, masa quebrada, azúcar"
Pizza de Pimientos Asados,"Pizza con pimientos asados, cebolla y queso",vegetariano,"harina, levadura, pimiento, cebolla, queso mozzarella"
Pavo al Horno,"Pavo asado con hierbas y especias",ninguno,"pavo, romero, tomillo, ajo, aceite de oliva"
Pasta con Salsa Carbonara,"Pasta con salsa de huevo y panceta crujiente",ninguno,"pasta, huevo, panceta, queso parmesano, crema de leche"
Frittata de Espárragos,"Frittata con espárragos, cebolla y queso",vegetariano,"espárragos, cebolla, huevo, queso parmesano, aceite de oliva"
Chili con Carne,"Chili picante con carne de res y frijoles",ninguno,"carne de res, frijoles, tomate, cebolla, chile en polvo"
Bocadillo de Atún,"Bocadillo con atún, mayonesa y tomate",ninguno,"pan, atún, mayonesa, tomate, cebolla"
Sopa de Tomate,"Sopa cremosa de tomate con albahaca",vegetariano,"tomate, cebolla, albahaca, crema de leche, caldo de verduras"
Tarta de Durazno,"Tarta con duraznos frescos y crema pastelera",vegetariano,"duraznos, masa quebrada, crema pastelera, azúcar"
Curry de Garbanzos,"Curry vegano de garbanzos con espinacas",vegano,"garbanzos, espinacas, tomate, cebolla, especias, leche de coco"
Pescado al Horno,"Pescado asado con limón y hierbas",ninguno,"pescado, limón, ajo, romero, aceite de oliva"
Pan de Calabaza,"Pan casero de calabaza con nueces",vegetariano,"calabaza, harina, nueces, azúcar, huevo"
Sushi de Salmón,"Rollos de sushi con salmón fresco y aguacate",ninguno,"arroz para sushi, alga nori, salmón, aguacate, vinagre de arroz"
Tarta de Naranja,"Tarta con base de galletas y crema de naranja",vegetariano,"naranja, galletas, crema pastelera, mantequilla"
Sopa de Lentejas,"Sopa reconfortante de lentejas con zanahoria",vegano,"lentejas, zanahoria, cebolla, ajo, caldo de verduras"
Quiche de Puerros,"Quiche con puerros, huevo y queso",vegetariano,"puerro, huevo, queso, crema de leche, masa quebrada"
Ensalada de Patata,"Ensalada fría de patata con mayonesa",vegetariano,"patata, mayonesa, cebolla, pepinillos, mostaza"
Moussaka,"Plato griego con berenjena, carne y bechamel",ninguno,"berenjena, carne picada, cebolla, tomate, bechamel, queso"
Pan de Maíz,"Pan esponjoso y sabroso hecho con harina de maíz",vegetariano,"harina de maíz, harina de trigo, mantequilla, azúcar, huevo"
Sopa de Champiñones,"Sopa cremosa de champiñones con cebolla y ajo",vegetariano,"champiñones, cebolla, ajo, crema de leche, caldo de verduras"
Tacos de Carne,"Tacos con carne de res, cebolla y cilantro",ninguno,"carne de res, tortilla de maíz, cebolla, cilantro, salsa"
Ensalada Griega,"Ensalada fresca con pepino, tomate y queso feta",vegetariano,"pepino, tomate, cebolla, queso feta, aceitunas, aceite de oliva"
Croquetas de Pollo,"Croquetas cremosas de pollo con bechamel",ninguno,"pollo, leche, harina, mantequilla, pan rallado, huevo"
Curry de Pollo,"Curry con pollo, arroz y especias",ninguno,"pollo, arroz, cebolla, curry, leche de coco, especias"
Fideos de Arroz con Verduras,"Fideos de arroz salteados con verduras y salsa de soja",vegano,"fideos de arroz, zanahoria, cebolla, pimiento, salsa de soja"
Galletas de Nuez,"Galletas crujientes con nueces y azúcar moreno",vegetariano,"nuez, azúcar moreno, mantequilla, huevo, harina"
Salmón a la Parrilla,"Salmón a la parrilla con limón y especias",ninguno,"salmón, limón, ajo, perejil, aceite de oliva"
Pasta con Mariscos,"Pasta con una mezcla de mariscos y salsa de tomate",ninguno,"pasta, mariscos, tomate, ajo, aceite de oliva"
Puré de Patatas,"Puré cremoso de patatas con mantequilla y crema",vegetariano,"patata, mantequilla, crema de leche, sal, pimienta"
Tarta de Limón y Merengue,"Tarta de limón con capa de merengue",vegetariano,"limón, merengue, galletas, mantequilla, azúcar"
Ensalada de Algas,"Ensalada ligera de algas con pepino y vinagre",vegano,"algas, pepino, vinagre, aceite de sésamo, sésamo"
Raviolis de Espinaca,"Raviolis rellenos de espinacas y ricotta",vegetariano,"pasta de ravioli, espinacas, ricotta, queso parmesano, tomate"
Ensalada de Pavo,"Ensalada con pechuga de pavo, espinacas y vinagreta",ninguno,"pavo, espinaca, nueces, arándanos, vinagreta"
Tarta de Manzana y Canela,"Tarta casera con manzanas y canela",vegetariano,"manzana, harina, mantequilla, azúcar, canela, huevo"
Ramen,"Sopa japonesa con fideos y caldo de pollo",ninguno,"fideos ramen, caldo de pollo, cebolla, ajo, huevo"
Bocadillo de Falafel,"Bocadillo con falafel, tahini y verduras",vegano,"pan de pita, falafel, tahini, lechuga, tomate, cebolla"
Tarta de Fresas,"Tarta fresca con crema pastelera y fresas, una delicia dulce",vegetariano,"fresas, crema pastelera, masa quebrada, azúcar, mantequilla"
Pizza de Vegetales,"Pizza vegetariana con una variedad de verduras asadas y queso",vegetariano,"harina, levadura, tomate, pimiento, cebolla, champiñones, calabacín, queso mozzarella"
Pollo al Horno con Hierbas,"Pollo asado con romero, tomillo y ajo, servido con papas",ninguno,"pollo, romero, tomillo, ajo, aceite de oliva, papas, sal, pimienta"
Galletas de Avena y Pasas,"Galletas caseras con avena, pasas y un toque de canela",vegetariano,"avena, pasas, harina, azúcar, mantequilla, huevo, canela"
Risotto de Mariscos,"Risotto cremoso con mariscos frescos, ideal para los amantes del mar",ninguno,"arroz arborio, camarones, calamares, mejillones, cebolla, ajo, vino blanco, caldo de mariscos, queso parmesano"
Tacos de Pescado,"Tacos frescos con pescado empanado, col y salsa de aguacate",ninguno,"pescado, tortilla de maíz, col, aguacate, cebolla, cilantro, limón"
Paella de Verduras,"Paella rica en verduras, ideal para vegetarianos, con arroz, azafrán y pimientos",vegetariano,"arroz, pimiento, tomate, alcachofas, guisantes, cebolla, ajo, azafrán"
Crepes Salados,"Crepes rellenos de espinacas, ricotta y salsa bechamel",vegetariano,"harina, leche, huevo, espinacas, ricotta, queso parmesano, crema, mantequilla"
Berenjenas al Horno,"Berenjenas asadas con queso mozzarella, tomate y albahaca, una opción ligera y sabrosa",vegetariano,"berenjena, tomate, queso mozzarella, albahaca, aceite de oliva, sal, pimienta"
Gambas al Ajillo,"Gambas salteadas en aceite de oliva con ajo y guindilla, un plato lleno de sabor",ninguno,"gambas, ajo, guindilla, aceite de oliva, perejil, sal, pimienta"
Tarta de Cereza,"Tarta dulce con cerezas frescas y crema pastelera, ideal para los días calurosos",vegetariano,"cereza, crema pastelera, masa quebrada, azúcar, mantequilla"
Ensalada César,"Ensalada clásica con pollo a la parrilla, crujientes picatostes y aderezo César",ninguno,"pollo, lechuga, picatostes, queso parmesano, aderezo César, ajo, aceite de oliva"
Ravioli Casero,"Raviolis rellenos de calabaza y ricotta, acompañados de una salsa de tomate casera",vegetariano,"pasta para ravioli, calabaza, ricotta, tomate, cebolla, ajo, queso parmesano"
Lasaña Vegetariana,"Lasaña sin carne, con una mezcla de verduras y bechamel, perfecta para los amantes de las verduras",vegetariano,"pasta para lasaña, espinacas, zanahorias, calabacín, cebolla, bechamel, queso mozzarella, queso parmesano"
Focaccia,"Focaccia casera con romero, aceite de oliva y sal gruesa, un pan esponjoso y aromático",vegetariano,"harina, agua, levadura, romero, aceite de oliva, sal, azúcar"
Sopa de Lentejas con Chorizo,"Sopa espesa de lentejas con trozos de chorizo, ideal para los días fríos",ninguno,"lentejas, chorizo, cebolla, zanahoria, tomate, ajo, caldo de pollo"
Tarta de Frambuesa,"Tarta con base de galletas y mermelada de frambuesa, cubierta con crema chantilly",vegetariano,"frambuesa, galletas, mantequilla, crema chantilly, azúcar"
Pasta con Salsa de Trufa,"Pasta con una suave salsa de crema y aceite de trufa, ideal para ocasiones especiales",vegetariano,"pasta, crema de leche, aceite de trufa, queso parmesano, cebolla"
Empanadas de Pollo,"Empanadas rellenas de pollo y cebolla, servidas con una salsa picante",ninguno,"pollo, cebolla, pimiento, masa de empanada, comino, pimentón"
Salmón al Horno,"Salmón al horno con hierbas y limón, servido con una ensalada fresca",ninguno,"salmón, limón, ajo, romero, aceite de oliva, sal, pimienta"
Hummus con Pita,"Hummus suave de garbanzo servido con pan pita y vegetales frescos",vegano,"garbanzos, tahini, limón, ajo, aceite de oliva, pan pita"
Curry de Vegetales,"Curry de verduras con leche de coco, lleno de sabor y especias",vegano,"zanahoria, calabacín, coliflor, cebolla, tomate, leche de coco, curry"
Sopa Thai de Coco,"Sopa tailandesa con leche de coco, jengibre, y pollo, servida con fideos",ninguno,"pollo, leche de coco, fideos de arroz, cebolla, jengibre, cilantro, chile"
Moussaka Vegetariana,"Moussaka sin carne, con berenjena, calabacín, tomate y una rica salsa bechamel",vegetariano,"berenjena, calabacín, tomate, cebolla, bechamel, queso parmesano"
Burritos de Pollo,"Burritos con pollo marinado, guacamole y salsa fresca",ninguno,"pollo, tortilla de trigo, guacamole, cebolla, cilantro, salsa de tomate"
Pasta al Huevo,"Pasta fresca con una salsa cremosa de huevo y queso parmesano",vegetariano,"pasta fresca, huevo, queso parmesano, crema de leche, pimienta"
Muffins de Plátano,"Muffins suaves y esponjosos con plátano maduro y nueces",vegetariano,"plátano, harina, nueces, azúcar, huevo, mantequilla"
Pollo a la Mostaza,"Pollo glaseado con salsa de mostaza y miel, servido con papas asadas",ninguno,"pollo, mostaza, miel, papas, aceite de oliva, sal, pimienta"
Sopa de Calabaza,"Sopa cremosa de calabaza con un toque de jengibre, reconfortante y deliciosa",vegetariano,"calabaza, jengibre, cebolla, caldo de verduras, crema de leche"
Bocadillo de Pollo y Aguacate,"Bocadillo con pechuga de pollo, aguacate, y mayonesa casera",ninguno,"pollo, aguacate, pan, mayonesa, lechuga"
Ratatouille con Pollo,"Ratatouille de verduras acompañado de pechuga de pollo a la parrilla",ninguno,"berenjena, calabacín, pimiento, tomate, cebolla, pollo"
Ensalada de Couscous,"Ensalada fresca de couscous con pepino, tomate y hierbas",vegano,"couscous, pepino, tomate, cebolla, perejil, menta, limón"
Pollo a la Provenzal,"Pollo cocinado con hierbas provenzales, ajo, tomate y aceite de oliva",ninguno,"pollo, tomate, ajo, romero, tomillo, aceite de oliva, sal, pimienta"
Tarta de Pera y Almendra,"Tarta de peras frescas con un toque de almendra y crema pastelera",vegetariano,"pera, almendras, crema pastelera, harina, mantequilla, azúcar"
Pizza Vegetariana,"Pizza con tomate, mozzarella y una variedad de verduras asadas",vegetariano,"harina, levadura, tomate, mozzarella, pimiento, calabacín, cebolla, berenjena"
Mousse de Chocolate,"Mousse suave de chocolate con un toque de crema batida, perfecta para postre",vegetariano,"chocolate, crema de leche, azúcar, huevo, mantequilla"
Fideuá,"Fideuá de mariscos con fideos finos, camarones y mejillones, típica de la costa",ninguno,"fideos finos, camarones, mejillones, calamares, cebolla, ajo, pimiento, caldo de mariscos"
